"About the data: Exported on Dec 13, 2022. Criteria: '""digital divide*"" OR ""digital inequalit*"" OR ""digital gap*""' in title and abstract; Publication Year is 2000 or 2001 or 2002 or 2003 or 2004 or 2005 or 2006 or 2007; Fields of Research (ANZSRC 2020) is 35 Commerce, Management, Tourism and Services or 38 Economics or 46 Information and Computing Sciences; Publication Type is Article or Chapter or Proceeding. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,ISBN,Title,Abstract,Acknowledgements,Source title,Anthology title,Publisher,ISSN,MeSH terms,Publication Date,PubYear,Publication Date (online),Publication Date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Research Organizations - standardized,GRID IDs,City of Research organization,State of Research organization,Country of Research organization,Funder,Funder Group,Funder Country,UIDs of supporting grants,Supporting Grants,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),RCDC Categories,HRCS HC Categories,HRCS RAC Categories,Cancer Types,CSO Categories,Units of Assessment,Sustainable Development Goals
2275,pub.1077688314,,18694093,,,Do minority-serving physicians have comparable rates of use of electronic health records?,"Given concerns that efforts to improve quality using tools such as electronic health records (EHR) could increase the digital divide among racial groups, we sought to determine whether minority-serving physicians in Massachusetts use EHR at the same rate as non-minority serving physicians. We found that physicians who cared for large minority populations had comparable rates of EHR use, identified similar barriers and reported similar benefits.",,AMIA Annual Symposium Proceedings,,,"1531-605X, 1942-597X","Attitude of Health Personnel; Attitude to Computers; Diffusion of Innovation; Health Care Surveys; Humans; Massachusetts; Medical Records Systems, Computerized; Minority Groups; Physicians",2007-10-11,2007,2007-10-11,,,,993,Closed,Article,"Jha, Ashish K; Bates, David W; Jenter, Chelsea A; Orav, E John; Zheng, Jie; Simon, Steven R","Jha, Ashish K (Harvard School of Public Health, Boston, MA, USA.); Bates, David W (); Jenter, Chelsea A (); Orav, E John (); Zheng, Jie (); Simon, Steven R ()",,"Jha, Ashish K (Harvard University); Bates, David W (); Jenter, Chelsea A (); Orav, E John (); Zheng, Jie (); Simon, Steven R ()",Harvard University,grid.38142.3c,Cambridge,Massachusetts,United States,,,,,,3,0,0.04,0.56,,,https://app.dimensions.ai/details/publication/pub.1077688314,42 Health Sciences; 4203 Health Services and Systems; 46 Information and Computing Sciences,Clinical Research; Networking and Information Technology R&D; Patient Safety,,,,,C20 Social Work and Social Policy,3 Good Health and Well Being
2167,pub.1076948263,,15471268,,,Assessing the value of the internet in health improvement.,"The internet is a powerful tool that provides easy access to information. Many people access it for health information and bring the material gathered to health appointments. However, the information may not always be correct or adequately monitored for quality. This could lead to some of it being harmful. This article examines whether or not the internet will enable us to lead healthier lives. The need for a quality label, how professionals must become adept at using the internet, the possibility of a digital divide exacerbating health inequalities and the dangers of misusing the internet's interactive elements are examined.",,Nursing Times,,,0954-7762,Computer Literacy; Health Education; Health Personnel; Health Promotion; Health Services Needs and Demand; Humans; Internet,2004,2004,,2004,100,35,28-30,Closed,Article,"Blair, Jim","Blair, Jim (Kingston University and St. George's Hospital Medical School, London.)",,"Blair, Jim (St George's, University of London)","St George's, University of London",grid.264200.2,London,,United Kingdom,,,,,,7,0,0.16,4.91,,,https://app.dimensions.ai/details/publication/pub.1076948263,42 Health Sciences; 46 Information and Computing Sciences; 4610 Library and Information Studies,,,,,,C20 Social Work and Social Policy,10 Reduced Inequalities
2162,pub.1077287908,,16926743,PMC1785207,,"Web-based consumer health information: public access, digital division, and remainders.","Public access Internet portals and decreasing costs of personal computers have created a growing consensus that unequal access to information, or a ""digital divide,"" has largely disappeared for US consumers. A series of technology initiatives in the late 1990s were believed to have largely eliminated the divide. For healthcare patients, access to information is an essential part of the consumer-centric framework outlined in the recently proposed national health information initiative. Data from a recent study of health information-seeking behaviors on the Internet suggest that a ""digitally underserved group"" persists, effectively limiting the planned national health information infrastructure to wealthier Americans.",,Medscape journal of medicine,,,"1934-1997, 1531-0132",Access to Information; Health Education; Information Dissemination; Internet,2006-04-04,2006,2006-04-04,,8,2,4,Closed,Article,"Lorence, Daniel; Park, Heeyoung","Lorence, Daniel (Center for Technology Assessment, Department of Health Policy and Administration and College of Information Sciences and Technology, The Pennsylvania State University, University Park, Pennsylvania, USA. dpl10@psu.edu); Park, Heeyoung ()",,"Lorence, Daniel (Pennsylvania State University); Park, Heeyoung ()",Pennsylvania State University,grid.29857.31,State College,Pennsylvania,United States,,,,,,15,0,0.53,4.89,,,https://app.dimensions.ai/details/publication/pub.1077287908,42 Health Sciences; 4203 Health Services and Systems; 46 Information and Computing Sciences; 4610 Library and Information Studies,Clinical Research; Health Services; Networking and Information Technology R&D,,,,,"D34 Communication, Cultural and Media Studies, Library and Information Management",3 Good Health and Well Being
2063,pub.1077265495,,16823147,,,Virtual hospital and digital medicine--why is the GRID needed?,"The promise of telemedicine to enable equal access to high-level medical care can only be realised by the development of virtual hospitals, digital medicine and a bridging of the digital divide between the various regions of the world. For this, the concept of the Grid should be integrated with other communication networks and platforms. A promising approach is the implementation of service-oriented architectures for an invisible grid, hiding complexity for both application developers and end-users. Therefore integrated Grid Tools Suites for application programmers must be developed. Thus enhancing development and deployment of Grid applications can bring us closer to the simplicity of use that is desired for grid infrastructures not only within the medico-clinical field.",,Studies in health technology and informatics,,,0926-9630,Databases as Topic; Europe; Hospitals; Medical Informatics; Software; Systems Integration,2006,2006,,2006,120,,295-304,Closed,Article,"Graschew, Georgi; Roelofs, Theo A; Rakowsky, Stefan; Schlag, Peter M; Heinzlreiter, Paul; Kranzlmüller, Dieter; Volkert, Jens","Graschew, Georgi (Surgical Research Unit OP 2000, Robert-Roessle-Klinik and Max-Delbrueck-Centrum, Charité--University Medicine Berlin, Lindenberger Weg 80, D-13125, Berlin, Germany.); Roelofs, Theo A (); Rakowsky, Stefan (); Schlag, Peter M (); Heinzlreiter, Paul (); Kranzlmüller, Dieter (); Volkert, Jens ()",,"Graschew, Georgi (Charité - University Medicine Berlin); Roelofs, Theo A (); Rakowsky, Stefan (); Schlag, Peter M (); Heinzlreiter, Paul (); Kranzlmüller, Dieter (); Volkert, Jens ()",Charité - University Medicine Berlin,grid.6363.0,Berlin,,Germany,,,,,,2,0,0.05,0.45,,,https://app.dimensions.ai/details/publication/pub.1077265495,46 Information and Computing Sciences; 4606 Distributed Computing and Systems Software,,Generic health relevance,,,,B11 Computer Science and Informatics,3 Good Health and Well Being
2011,pub.1059246941,10.1089/cpb.2006.9977,17305464,,,Study of Education Disparities and Health Information Seeking Behavior,"This exploratory technology assessment examines how educational characteristics of health information seekers are associated with access to computers, the Internet, and online health information. Specifically, we examine (1) if there exists significant variation across identified health technology user groups regarding access to online health information, and (2) if differences between education levels have narrowed, remained constant, or widened over recent years, following national educational initiatives to narrow the technology gap for low-education user groups. Using a stratified sample from national tracking survey data, we find that recent policy initiatives under national technology access and other programs have demonstrated little effect in narrowing the digital divide for low-education users of web-based technologies.",,Cyberpsychology Behavior and Social Networking,,Mary Ann Liebert,"2152-2715, 2152-2723, 1094-9313, 1557-8364",Educational Status; Humans; Information Dissemination; Internet; Patient Acceptance of Health Care; Surveys and Questionnaires,2007-02,2007,,2007-02,10,1,149-151,Closed,Article,"Lorence, Daniel; Park, Heeyoung","Lorence, Daniel (Center for Technology Assessment, and Department of Health Policy & Administration, Pennsylvania State University, University Park, Pennsylvania.); Park, Heeyoung (Department of Statistics, Pennsylvania State University, University Park, Pennsylvania.)",,"Lorence, Daniel (Pennsylvania State University); Park, Heeyoung (Pennsylvania State University)",Pennsylvania State University,grid.29857.31,State College,Pennsylvania,United States,,,,,,38,8,1.15,27.17,,,https://app.dimensions.ai/details/publication/pub.1059246941,46 Information and Computing Sciences; 4610 Library and Information Studies,Behavioral and Social Science; Clinical Research,,,,,C23 Education,4 Quality Education
2010,pub.1077354372,,17238764,PMC1839546,,Perceptions about use of a patient Internet portal among Medicaid beneficiaries.,"Patient Internet portals that allow patients to access their personal health information are an emerging form of enabling technology. The purported benefits from increasing use of information technology in healthcare, however, may not be universal because of a widening digital divide along racial and socioeconomic lines. In this pilot study, we surveyed 31 Medicaid beneficiaries to ascertain their interest in and projected use of a healthcare patient Internet portal. We found that most Medicaid beneficiaries were very interested in accessing personal health information about themselves or their dependents online. Moreover, ninety percent of respondents reported that they have access to the Internet, and sixty-eight percent of those with Internet access use the Internet once a week or more.",,AMIA Annual Symposium Proceedings,,,"1531-605X, 1942-597X",Data Collection; Humans; Internet; Interviews as Topic; Medicaid; North Carolina; Pilot Projects,2006,2006,,2006,2006,,1145,Closed,Article,"Willis, Janese M; Macri, Jennifer M; Simo, Jessica; Anstrom, Kevin J; Lobach, David F","Willis, Janese M (Duke University Medical Center, DUMC, Durham, NC 27710, USA.); Macri, Jennifer M (); Simo, Jessica (); Anstrom, Kevin J (); Lobach, David F ()",,"Willis, Janese M (Duke Medical Center); Macri, Jennifer M (); Simo, Jessica (); Anstrom, Kevin J (); Lobach, David F ()",Duke Medical Center,grid.414179.e,Durham,North Carolina,United States,,,,,,5,0,0.19,1.07,,,https://app.dimensions.ai/details/publication/pub.1077354372,42 Health Sciences; 4203 Health Services and Systems; 46 Information and Computing Sciences; 4609 Information Systems,Behavioral and Social Science; Clinical Research; Health Services,,,,,"A03 Allied Health Professions, Dentistry, Nursing and Pharmacy",3 Good Health and Well Being
1969,pub.1076971956,,15566276,,,Implementing telemedicine technology: lessons from India.,"Information and communications technologies have universally helped to bridge the digital divide. As an application of ICT, telemedicine is an efficient pathway for enabling health care delivery. Developing countries, too, have started reaping the benefits of this evolutionary technology, but realisation of such dreams has not been swift. The implementation of a pilot scheme in telemedicine in India has been confounded with challenges right from the very start. One of the prime lessons to be learnt from the implementation of a pilot project in a developing country is to keep the objectives of the project in small modules and to keep the deliverables within sight. An account of some of the challenges faced while developing telemedicine technology in India serves as a useful example for upcoming telemedicine programmes in Third World countries.",,World hospitals and health services : the official journal of the International Hospital Federation,,,1029-0540,Benchmarking; Developing Countries; Diffusion of Innovation; Health Plan Implementation; India; Inservice Training; Organizational Objectives; Pilot Projects; Telemedicine,2004,2004,,2004,40,3,"29-30, 41, 43",Closed,Article,"Sood, Sanjay P","Sood, Sanjay P (C-DAC School of Advanced Computing, Mauritius.)",,"Sood, Sanjay P ()",,,,,,,,,,,7,0,0.03,3.31,,,https://app.dimensions.ai/details/publication/pub.1076971956,44 Human Society; 4404 Development Studies; 46 Information and Computing Sciences,Bioengineering; Clinical Research; Health Services; Networking and Information Technology R&D,Generic health relevance,,,,C20 Social Work and Social Policy,3 Good Health and Well Being
1965,pub.1059246752,10.1089/cpb.2005.8.465,16232039,,,Instructional Set and Internet Use by Low-Income Adults,"This research examined the effects of instructional set on Internet use by low-income adults during a 16-month longitudinal study. Participants (n = 117) received instructions that focused on either the Internet's communication tools or its information tools. Internet use was continuously and automatically recorded. Survey measures of computer and Internet experiences, affect and attitudes were obtained to examine their mediational role in the relationship between instructional set and Internet use. Results indicated that instructions focused on the Internet's information tools led to greater Internet use than instructions focused on its communication tools or only basic instructions about how to use the Internet. Implications for reducing the digital divide are discussed.",,Cyberpsychology Behavior and Social Networking,,Mary Ann Liebert,"2152-2715, 2152-2723, 1094-9313, 1557-8364","Adult; Attitude to Computers; Computer Communication Networks; Computer User Training; Computer-Assisted Instruction; Female; Humans; Information Storage and Retrieval; Longitudinal Studies; Male; Midwestern United States; Poverty; Set, Psychology; Urban Population; Utilization Review",2005-10,2005,,2005-10,8,5,465-472,All OA; Green,Article,"Jackson, Linda A.; Von Eye, Alexander; Biocca, Frank; Barbatsis, Gretchen; Zhao, Yong; Fitzgerald, Hiram","Jackson, Linda A. (Department of Psychology, Michigan State University, East Lansing, Michigan.); Von Eye, Alexander (Department of Psychology, Michigan State University, East Lansing, Michigan.); Biocca, Frank (Department of Psychology, Michigan State University, East Lansing, Michigan.); Barbatsis, Gretchen (Department of Psychology, Michigan State University, East Lansing, Michigan.); Zhao, Yong (Department of Psychology, Michigan State University, East Lansing, Michigan.); Fitzgerald, Hiram (Department of Psychology, Michigan State University, East Lansing, Michigan.)",,"Jackson, Linda A. (Michigan State University); Von Eye, Alexander (Michigan State University); Biocca, Frank (Michigan State University); Barbatsis, Gretchen (Michigan State University); Zhao, Yong (Michigan State University); Fitzgerald, Hiram (Michigan State University)",Michigan State University,grid.17088.36,East Lansing,Michigan,United States,,,,,,8,0,0.13,1.01,,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.506.8270,https://app.dimensions.ai/details/publication/pub.1059246752,46 Information and Computing Sciences; 4609 Information Systems; 52 Psychology; 5201 Applied and Developmental Psychology; 5205 Social and Personality Psychology,Clinical Research,,,,,"A04 Psychology, Psychiatry and Neuroscience",
1964,pub.1075199228,,12463933,PMC2244335,,"Crossing the ""digital divide:"" implementing an electronic medical record system in a rural Kenyan health center to support clinical care and research.","To improve care, one must measure it. In the US, electronic medical record systems have been installed in many institutions to support health care management, quality improvement, and research. Developing countries lack such systems and thus have difficulties managing scarce resources and investigating means of improving health care delivery and outcomes. We describe the implementation and use of the first documented electronic medical record system in ambulatory care in sub-Saharan Africa. After one year, it has captured data for more than 13,000 patients making more than 26,000 visits. We present lessons learned and modifications made to this system to improve its capture of data and ability to support a comprehensive clinical care and research agenda.",,AMIA Annual Symposium Proceedings,,,"1531-605X, 1942-597X","Ambulatory Care; Humans; Kenya; Medical Records Systems, Computerized; Patient Care Management; Rural Health Services",2002,2002,,2002,,,792-5,Closed,Article,"Tierney, William M; Rotich, Joseph K; Smith, Faye E; Bii, John; Einterz, Robert M; Hannan, Terry J","Tierney, William M (Indiana University School of Medicine, Indianapolis, IN, USA.); Rotich, Joseph K (); Smith, Faye E (); Bii, John (); Einterz, Robert M (); Hannan, Terry J ()",,"Tierney, William M (Indiana University – Purdue University Indianapolis); Rotich, Joseph K (); Smith, Faye E (); Bii, John (); Einterz, Robert M (); Hannan, Terry J ()",Indiana University – Purdue University Indianapolis,grid.257413.6,Indianapolis,Indiana,United States,Fogarty International Center,ICRP - International Cancer Research Partnership; NIH - National Institutes of Health,United States,grant.2354658,D43TW001082,13,3,0.46,2.9,,,https://app.dimensions.ai/details/publication/pub.1075199228,42 Health Sciences; 4203 Health Services and Systems; 46 Information and Computing Sciences; 4609 Information Systems,Clinical Research; Health Services; Patient Safety,Generic health relevance,8.1 Organisation and delivery of services,,,"A03 Allied Health Professions, Dentistry, Nursing and Pharmacy",3 Good Health and Well Being
1907,pub.1075268250,,12690711,,,"Transformations of 21st century health care, Part 1. Beyond the digital divide.","Speed, control, accountability, cost containment, and customer satisfaction are the first-level benefits of digitization. We'll see these benefits grow, and we'll see much more in the new century.",,Health Forum journal,,,1527-3547,"Computer Communication Networks; Decision Making, Computer-Assisted; Forecasting; Hospital Administration; Hospital Information Systems; Humans; Malpractice; Organizational Innovation; Patient Satisfaction; Patient-Centered Care; Practice Patterns, Physicians'; Social Responsibility; United States",2003,2003,,2003,46,1,"8-13, 1",Closed,Article,"Flower, Joe","Flower, Joe (What If., Fort Bragg, Calif., USA. bbear@well.com)",,"Flower, Joe ()",,,,,,,,,,,4,0,0.12,0.4,,,https://app.dimensions.ai/details/publication/pub.1075268250,"35 Commerce, Management, Tourism and Services; 3503 Business Systems In Context; 46 Information and Computing Sciences",,Generic health relevance,,,,,3 Good Health and Well Being
1884,pub.1022980255,10.1300/j115v20n03_02,11757392,,,Health InfoNet of Jefferson County,"Health InfoNet of Jefferson County is a new collaborative consumer health information service of the Jefferson County public libraries and the UAB Lister Hill Library of the Health Sciences. Working with the input and cooperation of local voluntary health agencies, health care professionals and other health information providers, the intent is to improve the efficiency with which consumers might access such information while avoiding duplication of effort on the part of the information providers. Various considerations in InfoNet's mission include providing service not only to established library and Internet users, but also those on the other side of the ""digital divide"" as well as those with low literacy skills or English as a second language. The role of health care professionals in guiding their patients to the best consumer health information resources is emphasized.",,Medical Reference Services Quarterly,,Taylor & Francis,"0276-3869, 1540-9597","Alabama; Cooperative Behavior; Educational Status; Efficiency, Organizational; Health Education; Information Services; Interinstitutional Relations; Internet; Libraries; Models, Organizational; Organizational Objectives; Physician-Patient Relations; Universities; Voluntary Health Agencies",2001-09,2001,,2001-09,20,3,13-21,Closed,Article,"Smith, Kay Hogan","Smith, Kay Hogan (Lister Hill Library of the Health Sciences, University of Alabama at Birmingham, Birmingham, AL, USA)",,"Smith, Kay Hogan (University of Alabama at Birmingham)",University of Alabama at Birmingham,grid.265892.2,Birmingham,Alabama,United States,,,,,,6,0,0.06,4.32,,,https://app.dimensions.ai/details/publication/pub.1022980255,46 Information and Computing Sciences; 4610 Library and Information Studies,,,8.1 Organisation and delivery of services,,,"D34 Communication, Cultural and Media Studies, Library and Information Management",
1884,pub.1074795790,,11291216,,,Physician executives straddle the digital divide.,"e-Health is here to stay and experts predict that the Internet will become the hub of health care. Rapid advancements in biotechnology and medical research, increasingly curious patients who surf the Internet for medical information, and pressures from managed care companies to contain costs and speed treatments are the central components driving e-health. Despite physician reluctance to embrace the e-revolution, many hospitals and medical groups are employing the Internet and information technology to improve their customer interface, as well as to reduce business costs. This article offers seven e-strategies for health care performance improvement: (1) Supply chain management; (2) e-transactions; (3) care management; (4) improving quality; (5) boosting revenues; (6) outsourcing; and (7) provider networks (Intranets). By helping to incorporate these key e-solutions, physician executives can position their organizations for success in the new millennium.",,Physician Executive,,,"2374-4030, 2689-274X, 0898-2759",Attitude of Health Personnel; Attitude to Computers; Computer Communication Networks; Diffusion of Innovation; Group Practice; Hospital Administration; Humans; Income; Outsourced Services; Physician Executives; Systems Integration; Total Quality Management; United States,2001,2001,,2001,27,2,12-9,Closed,Article,"Coile, R C","Coile, R C (Superior Consultant, Southfield, Michigan, USA. Russell_Coile@superiorconsultant.com)",,"Coile, R C ()",,,,,,,,,,,4,0,,0.9,,,https://app.dimensions.ai/details/publication/pub.1074795790,"35 Commerce, Management, Tourism and Services; 42 Health Sciences; 4203 Health Services and Systems; 46 Information and Computing Sciences; 4609 Information Systems",Clinical Research; Health Services,,,,,C17 Business and Management Studies,
1880,pub.1077321028,,17095814,,,New trends in the virtualization of hospitals--tools for global e-Health.,"The development of virtual hospitals and digital medicine helps to bridge the digital divide between different regions of the world and enables equal access to high-level medical care. Pre-operative planning, intra-operative navigation and minimally-invasive surgery require a digital and virtual environment supporting the perception of the physician. As data and computing resources in a virtual hospital are distributed over many sites the concept of the Grid should be integrated with other communication networks and platforms. A promising approach is the implementation of service-oriented architectures for an invisible grid, hiding complexity for both application developers and end-users. Examples of promising medical applications of Grid technology are the real-time 3D-visualization and manipulation of patient data for individualized treatment planning and the creation of distributed intelligent databases of medical images.",,Studies in health technology and informatics,,,0926-9630,Artificial Intelligence; Computer Simulation; Database Management Systems; Expert Systems; Hospital Information Systems; Humans; Information Storage and Retrieval; Internet; Medical Informatics Applications; Systems Integration; Telemedicine; User-Computer Interface,2006,2006,,2006,121,,168-75,Closed,Article,"Graschew, Georgi; Roelofs, Theo A; Rakowsky, Stefan; Schlag, Peter M; Heinzlreiter, Paul; Kranzlmüller, Dieter; Volkert, Jens","Graschew, Georgi (Surgical Research Unit OP 2000, Robert-Roessle-Klinik and Max-Delbrueck-Centrum, Charité-University Medicine Berlin, Lindenberger Weg 80, D-13125, Berlin, Germany.); Roelofs, Theo A (); Rakowsky, Stefan (); Schlag, Peter M (); Heinzlreiter, Paul (); Kranzlmüller, Dieter (); Volkert, Jens ()",,"Graschew, Georgi (Charité - University Medicine Berlin); Roelofs, Theo A (); Rakowsky, Stefan (); Schlag, Peter M (); Heinzlreiter, Paul (); Kranzlmüller, Dieter (); Volkert, Jens ()",Charité - University Medicine Berlin,grid.6363.0,Berlin,,Germany,,,,,,21,0,0.17,4.76,,,https://app.dimensions.ai/details/publication/pub.1077321028,46 Information and Computing Sciences; 4606 Distributed Computing and Systems Software,,Generic health relevance,,,,B11 Computer Science and Informatics,3 Good Health and Well Being
1878,pub.1077353985,,17238383,PMC1839396,,Training digital divide seniors to use a telehealth system: a remote training approach.,"As the use of health information technologies continues to proliferate amongst seniors, many of whom lack computer experience, there is a need to develop effective training approaches to foster basic competencies. This paper describes the REmote Patient Education in a Telemedicine Environment (REPETE) system, a component of the IDEATel telemedicine architecture. The REPETE architecture supports simultaneous visual and audio teaching modes over low bandwidth connections. This paper presents an in-depth qualitative analysis of two patients being trained to use the IDEATel patient web portal. The results indicate that this method of instruction was useful in facilitating patients' use of the web application. However, the observations suggest that there is learning curve for the trainer to use the resources effectively to establish common ground and foster competencies in the patient.",,AMIA Annual Symposium Proceedings,,,"1531-605X, 1942-597X","Aged; Computer User Training; Computer-Assisted Instruction; Education, Distance; Female; Humans; Internet; Male; Patient Education as Topic; Self Care; Telemedicine; User-Computer Interface; Videoconferencing",2006,2006,,2006,2006,,459-63,Closed,Article,"Lai, Albert M; Kaufman, David R; Starren, Justin","Lai, Albert M (Dept. of Biomedical Informatics, Columbia University, New York, NY, USA.); Kaufman, David R (); Starren, Justin ()",,"Lai, Albert M (Columbia University); Kaufman, David R (); Starren, Justin ()",Columbia University,grid.21729.3f,New York,New York,United States,United States National Library of Medicine,ICRP - International Cancer Research Partnership; NIH - National Institutes of Health,United States,grant.2681178,T15LM007079,7,0,0.2,1.25,,,https://app.dimensions.ai/details/publication/pub.1077353985,42 Health Sciences; 4203 Health Services and Systems; 46 Information and Computing Sciences,Bioengineering; Clinical Research; Health Services; Networking and Information Technology R&D,,7.1 Individual care needs,,,B11 Computer Science and Informatics,
